nome_azienda,tipo,latitudine,longitudine,raggio_km,superficie_kmq
Edinburgh Waverley Station,stazione_ferroviaria,55.9521,-3.1889,0.2,1
Leeds Station,stazione_ferroviaria,53.7939,-1.5471,0.2,1
Newcastle Central Station,stazione_ferroviaria,54.9688,-1.6177,0.2,1
Cardiff Central Station,stazione_ferroviaria,51.4758,-3.1788,0.2,1
Bristol Temple Meads Station,stazione_ferroviaria,51.4494,-2.5808,0.2,1
Sheffield Station,stazione_ferroviaria,53.3781,-1.4623,0.2,1
Nottingham Station,stazione_ferroviaria,52.9479,-1.1466,0.2,1
Liverpool Lime Street Station,stazione_ferroviaria,53.4075,-2.9773,0.2,1
Coventry Station,stazione_ferroviaria,52.4007,-1.5168,0.2,1
Preston Station,stazione_ferroviaria,53.7576,-2.7093,0.2,1
York Station,stazione_ferroviaria,53.9577,-1.0933,0.2,1
Reading Station,stazione_ferroviaria,51.4584,-0.9706,0.2,1
Derby Station,stazione_ferroviaria,52.9159,-1.4641,0.2,1
Leicester Station,stazione_ferroviaria,52.6278,-1.1246,0.2,1
Hull Station,stazione_ferroviaria,53.7448,-0.3464,0.2,1
Stoke-on-Trent Station,stazione_ferroviaria,53.0084,-2.1794,0.2,1
Wolverhampton Station,stazione_ferroviaria,52.5878,-2.1201,0.2,1
Southampton Central Station,stazione_ferroviaria,50.9077,-1.4145,0.2,1
Plymouth Station,stazione_ferroviaria,50.3783,-4.1427,0.2,1
Peterborough Station,stazione_ferroviaria,52.5745,-0.2503,0.2,1
Doncaster Station,stazione_ferroviaria,53.5224,-1.1407,0.2,1
