name,latitudine,longitudine,terms,country_id,country,region_id,region,radius,notes,surface_kmq
University of Durham,54.7761,-1.5733,university,,,,,1.5,,7
University of Warwick,52.3791,-1.5606,university,,,,,1.4,,6
University of York,53.948,-1.0536,university,,,,,1.3,,5
University of Bath,51.3781,-2.3286,university,,,,,1.2,,4
University of Surrey,51.2433,-0.5889,university,,,,,1.1,,4
Keele University,53.0036,-2.2736,university,,,,,1,,3
University of East Anglia,52.6217,1.2411,university,,,,,0.9,,3
University of Sussex,50.8645,-0.0877,university,,,,,0.8,,2
University of Essex,51.8756,0.9418,university,,,,,0.7,,2
University of Kent,51.2978,1.0648,university,,,,,0.6,,1
London King's Cross Station,51.5308,-0.1238,railway_station,,,,,0.5,,1
London Euston Station,51.5269,-0.1338,railway_station,,,,,0.4,,1
London Paddington Station,51.5154,-0.1755,railway_station,,,,,0.3,,1
London Victoria Station,51.4952,-0.1441,railway_station,,,,,0.3,,1
London Waterloo Station,51.5036,-0.1136,railway_station,,,,,0.4,,1
London Liverpool Street Station,51.5183,-0.0822,railway_station,,,,,0.3,,1
Birmingham New Street Station,52.4777,-1.899,railway_station,,,,,0.2,,1
Manchester Piccadilly Station,53.4773,-2.2309,railway_station,,,,,0.2,,1
Glasgow Central Station,55.8584,-4.2576,railway_station,,,,,0.2,,1
Edinburgh Waverley Station,55.9521,-3.1889,railway_station,,,,,0.2,,1
Leeds Station,53.7939,-1.5471,railway_station,,,,,0.2,,1
Newcastle Central Station,54.9688,-1.6177,railway_station,,,,,0.2,,1
Cardiff Central Station,51.4758,-3.1788,railway_station,,,,,0.2,,1
Bristol Temple Meads Station,51.4494,-2.5808,railway_station,,,,,0.2,,1
Sheffield Station,53.3781,-1.4623,railway_station,,,,,0.2,,1
Nottingham Station,52.9479,-1.1466,railway_station,,,,,0.2,,1
Liverpool Lime Street Station,53.4075,-2.9773,railway_station,,,,,0.2,,1
Coventry Station,52.4007,-1.5168,railway_station,,,,,0.2,,1
Preston Station,53.7576,-2.7093,railway_station,,,,,0.2,,1
York Station,53.9577,-1.0933,railway_station,,,,,0.2,,1
Reading Station,51.4584,-0.9706,railway_station,,,,,0.2,,1
Derby Station,52.9159,-1.4641,railway_station,,,,,0.2,,1
Leicester Station,52.6278,-1.1246,railway_station,,,,,0.2,,1
Hull Station,53.7448,-0.3464,railway_station,,,,,0.2,,1
Stoke-on-Trent Station,53.0084,-2.1794,railway_station,,,,,0.2,,1
Wolverhampton Station,52.5878,-2.1201,railway_station,,,,,0.2,,1
Southampton Central Station,50.9077,-1.4145,railway_station,,,,,0.2,,1
Plymouth Station,50.3783,-4.1427,railway_station,,,,,0.2,,1
Peterborough Station,52.5745,-0.2503,railway_station,,,,,0.2,,1
Doncaster Station,53.5224,-1.1407,railway_station,,,,,0.2,,1
